accX,accY,accZ,time,microseconds
-6308,5067,-1378,"2022-04-13 10:22:45",180726
-6298,5040,-1377,"2022-04-13 10:22:45",181719
-6303,5065,-1394,"2022-04-13 10:22:45",182712
-6312,5055,-1386,"2022-04-13 10:22:45",183705
-6304,5088,-1387,"2022-04-13 10:22:45",184698
-6304,5043,-1356,"2022-04-13 10:22:45",185691
-6297,5056,-1366,"2022-04-13 10:22:45",186684
-6302,5076,-1392,"2022-04-13 10:22:45",187677
-6298,5050,-1382,"2022-04-13 10:22:45",188670
-6307,5047,-1364,"2022-04-13 10:22:45",189663
-6303,5058,-1375,"2022-04-13 10:22:45",190656
-6302,5053,-1370,"2022-04-13 10:22:45",191649
-6305,5044,-1384,"2022-04-13 10:22:45",192642
-6296,5050,-1391,"2022-04-13 10:22:45",193635
-6294,5050,-1395,"2022-04-13 10:22:45",194628
-6278,5050,-1376,"2022-04-13 10:22:45",195621
-6282,5055,-1394,"2022-04-13 10:22:45",196614
-6291,5063,-1380,"2022-04-13 10:22:45",197607
-6288,5069,-1384,"2022-04-13 10:22:45",198600
-6315,5076,-1375,"2022-04-13 10:22:45",199593
-6297,5057,-1355,"2022-04-13 10:22:45",200586
-6278,5026,-1365,"2022-04-13 10:22:45",201579
-6288,5026,-1376,"2022-04-13 10:22:45",202572
-6296,5051,-1414,"2022-04-13 10:22:45",203565
-6286,5030,-1373,"2022-04-13 10:22:45",204558
-6288,5045,-1372,"2022-04-13 10:22:45",205551
-6257,5060,-1391,"2022-04-13 10:22:45",206544
-6279,5040,-1379,"2022-04-13 10:22:45",207537
-6288,5042,-1360,"2022-04-13 10:22:45",208530
-6274,5026,-1362,"2022-04-13 10:22:45",209523
-6278,5035,-1386,"2022-04-13 10:22:45",210516
-6283,5042,-1400,"2022-04-13 10:22:45",211509
-6269,5037,-1410,"2022-04-13 10:22:45",212502
-6268,5049,-1376,"2022-04-13 10:22:45",213495
-6252,5070,-1364,"2022-04-13 10:22:45",214488
-6264,5075,-1350,"2022-04-13 10:22:45",215481
-6262,5042,-1391,"2022-04-13 10:22:45",216474
-6272,5058,-1426,"2022-04-13 10:22:45",217467
-6252,5024,-1390,"2022-04-13 10:22:45",218460
-6270,5034,-1375,"2022-04-13 10:22:45",219453
-6278,5044,-1369,"2022-04-13 10:22:45",220446
-6282,5055,-1373,"2022-04-13 10:22:45",221439
-6264,5028,-1368,"2022-04-13 10:22:45",222432
-6286,5016,-1394,"2022-04-13 10:22:45",223425
-6269,5040,-1417,"2022-04-13 10:22:45",224418
-6301,5051,-1396,"2022-04-13 10:22:45",225411
-6285,5041,-1395,"2022-04-13 10:22:45",226404
-6268,5055,-1399,"2022-04-13 10:22:45",227397
-6294,5039,-1393,"2022-04-13 10:22:45",228390
-6269,5060,-1419,"2022-04-13 10:22:45",229383
-6278,5036,-1409,"2022-04-13 10:22:45",230376
-6267,5042,-1418,"2022-04-13 10:22:45",231369
-6264,5038,-1400,"2022-04-13 10:22:45",232362
-6293,5036,-1399,"2022-04-13 10:22:45",233355
-6278,5048,-1389,"2022-04-13 10:22:45",234348
-6278,5034,-1397,"2022-04-13 10:22:45",235341
-6272,5028,-1379,"2022-04-13 10:22:45",236334
-6265,5064,-1385,"2022-04-13 10:22:45",237327
-6286,5058,-1396,"2022-04-13 10:22:45",238320
-6241,5034,-1393,"2022-04-13 10:22:45",239313
-6246,5051,-1391,"2022-04-13 10:22:45",240306
-6268,5044,-1394,"2022-04-13 10:22:45",241299
-6286,5044,-1402,"2022-04-13 10:22:45",242292
-6293,5027,-1412,"2022-04-13 10:22:45",243285
-6288,5041,-1398,"2022-04-13 10:22:45",244278
-6285,5058,-1377,"2022-04-13 10:22:45",245271
-6278,5063,-1382,"2022-04-13 10:22:45",246264
-6296,5036,-1394,"2022-04-13 10:22:45",247257
-6293,5035,-1391,"2022-04-13 10:22:45",248250
-6301,5060,-1388,"2022-04-13 10:22:45",249243
-6270,5030,-1360,"2022-04-13 10:22:45",250236
-6296,5033,-1356,"2022-04-13 10:22:45",251229
-6295,5048,-1395,"2022-04-13 10:22:45",252222
-6288,5038,-1417,"2022-04-13 10:22:45",253215
-6314,5037,-1401,"2022-04-13 10:22:45",254208
-6290,5052,-1383,"2022-04-13 10:22:45",255201
-6280,5056,-1360,"2022-04-13 10:22:45",256194
-6290,5026,-1374,"2022-04-13 10:22:45",257187
-6288,5049,-1394,"2022-04-13 10:22:45",258180
-6299,5038,-1380,"2022-04-13 10:22:45",259173
-6294,5038,-1380,"2022-04-13 10:22:45",260166
-6296,5028,-1395,"2022-04-13 10:22:45",261159
-6325,5036,-1387,"2022-04-13 10:22:45",262152
-6306,5040,-1382,"2022-04-13 10:22:45",263145
-6296,5027,-1391,"2022-04-13 10:22:45",264138
-6284,5039,-1381,"2022-04-13 10:22:45",265131
-6305,5038,-1398,"2022-04-13 10:22:45",266124
-6297,5066,-1408,"2022-04-13 10:22:45",267117
-6300,5057,-1381,"2022-04-13 10:22:45",268110
-6316,5050,-1354,"2022-04-13 10:22:45",269103
-6324,5045,-1378,"2022-04-13 10:22:45",270096
-6333,5054,-1395,"2022-04-13 10:22:45",271089
-6308,5036,-1376,"2022-04-13 10:22:45",272082
-6307,5060,-1375,"2022-04-13 10:22:45",273075
-6306,5064,-1366,"2022-04-13 10:22:45",274068
-6307,5083,-1372,"2022-04-13 10:22:45",275061
-6278,5078,-1376,"2022-04-13 10:22:45",276054
-6285,5059,-1385,"2022-04-13 10:22:45",277047
-6294,5089,-1394,"2022-04-13 10:22:45",278040
-6321,5046,-1375,"2022-04-13 10:22:45",279033
-6320,5056,-1376,"2022-04-13 10:22:45",280026
-6323,5059,-1370,"2022-04-13 10:22:45",281019
-6312,5040,-1354,"2022-04-13 10:22:45",282012
-6313,5059,-1375,"2022-04-13 10:22:45",283005
-6298,5056,-1400,"2022-04-13 10:22:45",283998
-6304,5044,-1380,"2022-04-13 10:22:45",284991
-6293,5064,-1398,"2022-04-13 10:22:45",285984
-6299,5039,-1384,"2022-04-13 10:22:45",286977
-6298,5062,-1362,"2022-04-13 10:22:45",287970
-6326,5050,-1372,"2022-04-13 10:22:45",288963
-6308,5054,-1378,"2022-04-13 10:22:45",289956
-6335,5047,-1386,"2022-04-13 10:22:45",290949
-6291,5059,-1375,"2022-04-13 10:22:45",291942
-6290,5045,-1387,"2022-04-13 10:22:45",292935
-6289,5044,-1380,"2022-04-13 10:22:45",293928
-6308,5054,-1381,"2022-04-13 10:22:45",294921
-6310,5073,-1391,"2022-04-13 10:22:45",295914
-6308,5058,-1374,"2022-04-13 10:22:45",296907
-6295,5062,-1374,"2022-04-13 10:22:45",297900
-6298,5051,-1366,"2022-04-13 10:22:45",298893
-6306,5054,-1366,"2022-04-13 10:22:45",299886
-6327,5038,-1375,"2022-04-13 10:22:45",300879
-6325,5036,-1382,"2022-04-13 10:22:45",301872
-6302,5050,-1398,"2022-04-13 10:22:45",302865
-6321,5064,-1369,"2022-04-13 10:22:45",303858
-6290,5064,-1374,"2022-04-13 10:22:45",304851
-6283,5092,-1384,"2022-04-13 10:22:45",305844
-6308,5078,-1380,"2022-04-13 10:22:45",306837
-6288,5055,-1373,"2022-04-13 10:22:45",307830
-6310,5067,-1386,"2022-04-13 10:22:45",308823
-6288,5044,-1390,"2022-04-13 10:22:45",309816
-6282,5062,-1381,"2022-04-13 10:22:45",310809
-6308,5062,-1390,"2022-04-13 10:22:45",311802
-6308,5044,-1396,"2022-04-13 10:22:45",312795
-6296,5016,-1376,"2022-04-13 10:22:45",313788
-6323,5059,-1371,"2022-04-13 10:22:45",314781
-6315,5074,-1373,"2022-04-13 10:22:45",315774
-6321,5073,-1373,"2022-04-13 10:22:45",316767
-6325,5057,-1358,"2022-04-13 10:22:45",317760
-6287,5063,-1386,"2022-04-13 10:22:45",318753
-6288,5052,-1399,"2022-04-13 10:22:45",319746
-6300,5054,-1403,"2022-04-13 10:22:45",320739
-6302,5044,-1359,"2022-04-13 10:22:45",321732
-6304,5046,-1381,"2022-04-13 10:22:45",322725
-6305,5042,-1384,"2022-04-13 10:22:45",323718
-6306,5042,-1383,"2022-04-13 10:22:45",324711
-6298,5044,-1400,"2022-04-13 10:22:45",325704
-6305,5052,-1389,"2022-04-13 10:22:45",326697
-6313,5059,-1375,"2022-04-13 10:22:45",327690
-6299,5054,-1363,"2022-04-13 10:22:45",328683
-6301,5046,-1350,"2022-04-13 10:22:45",329676
-6303,5041,-1370,"2022-04-13 10:22:45",330669
-6292,5049,-1375,"2022-04-13 10:22:45",331662
-6288,5059,-1387,"2022-04-13 10:22:45",332655
-6303,5032,-1373,"2022-04-13 10:22:45",333648
-6309,5039,-1374,"2022-04-13 10:22:45",334641
-6297,5020,-1370,"2022-04-13 10:22:45",335634
-6304,5037,-1359,"2022-04-13 10:22:45",336627
-6296,5052,-1384,"2022-04-13 10:22:45",337620
-6298,5053,-1396,"2022-04-13 10:22:45",338613
-6285,5064,-1415,"2022-04-13 10:22:45",339606
-6274,5076,-1422,"2022-04-13 10:22:45",340599
-6293,5036,-1392,"2022-04-13 10:22:45",341592
-6298,5045,-1366,"2022-04-13 10:22:45",342585
-6313,5053,-1380,"2022-04-13 10:22:45",343578
-6307,5024,-1382,"2022-04-13 10:22:45",344571
-6278,5044,-1382,"2022-04-13 10:22:45",345564
-6286,5085,-1366,"2022-04-13 10:22:45",346557
-6308,5069,-1375,"2022-04-13 10:22:45",347550
-6308,5053,-1375,"2022-04-13 10:22:45",348543
-6291,5056,-1384,"2022-04-13 10:22:45",349536
-6303,5070,-1383,"2022-04-13 10:22:45",350529
-6272,5049,-1390,"2022-04-13 10:22:45",351522
-6316,5043,-1380,"2022-04-13 10:22:45",352515
-6308,5058,-1370,"2022-04-13 10:22:45",353508
-6304,5056,-1361,"2022-04-13 10:22:45",354501
-6320,5038,-1394,"2022-04-13 10:22:45",355494
-6325,5043,-1386,"2022-04-13 10:22:45",356487
-6310,5042,-1394,"2022-04-13 10:22:45",357480
-6288,5045,-1370,"2022-04-13 10:22:45",358473
-6314,5036,-1385,"2022-04-13 10:22:45",359466
-6290,5034,-1372,"2022-04-13 10:22:45",360459
-6272,5058,-1368,"2022-04-13 10:22:45",361452
